sport,property,client,num_events,total_uniques
Soccer,Primera División (Spain),Bet365 Inform,407,28953935.0
Soccer,Primera División (Spain),Nesine,406,23408412.0
Soccer,Ligue 1 (France),Nesine,406,18080744.0
Ice Hockey,Kontinental Hockey League,Fonbet,835,17427167.0
Soccer,Ligue 1 (France),Bet365 Inform,406,15471848.0
Soccer,Serie A (Italy),Bet365 Inform,189,13394749.0
Ice Hockey,Kontinental Hockey League,Winline,836,12991144.0
Soccer,Primeira Liga (Portugal),Nesine,335,12080302.0
Soccer,Serie A (Italy),Nesine,189,10708465.0
Soccer,Primeira Liga (Portugal),Bet365 Inform,348,10525732.0
Soccer,First Division A (Belgium),Nesine,334,10041345.0
Tennis,Wimbledon,Bet365 Inform,132,9362768.0
Soccer,Primera División (Spain),Betclic,406,9322311.0
Soccer,Segunda División (Spain),Nesine,443,8886675.0
Soccer,Primera División (Spain),Winline,406,7346566.0
Soccer,Süper Lig (Turkey),Bet365 Inform,457,7285850.0
Soccer,Primera División (Spain),Fonbet,406,7150086.0
Soccer,Primera División (Spain),Pocasport,407,6960666.0
Basketball,Basketball Super League (Turkey),Nesine,152,6502878.0
Soccer,Serie A (Brazil),Nesine,399,6434605.0
Soccer,Segunda División (Spain),Bet365 Inform,490,6300219.0
Soccer,Primera División (Spain),Bilyoner,407,5892025.0
Soccer,J1 League (Japan),Nesine,348,5529243.0
Soccer,Serie B (Italy),Nesine,364,5434991.0
Soccer,First Division A (Belgium),Bet365 Inform,351,5174556.0
Soccer,Primera División (Chile),Bet365 Inform,352,5029392.0
Soccer,Serie A (Italy),Fonbet,185,4740074.0
Soccer,Primera División (Spain),Winamax,407,4680447.0
Soccer,Ligue 1 (France),Bilyoner,405,4666224.0
Soccer,Ligue 2 (France),Nesine,360,4533106.0
Soccer,Serie A (Brazil),Bet365 Inform,490,4466837.0
Soccer,Ligue 1 (France),Winline,406,4466723.0
Soccer,Primera División (Spain),Olimp,407,4461160.0
Soccer,Serie A (Italy),Betclic,189,4261299.0
Soccer,Serie B (Italy),Bet365 Inform,410,4251259.0
Soccer,Primera División (Argentina),Bet365 Inform,200,4167321.0
Soccer,Primera División (Spain),Unibet,407,4125103.0
Soccer,Ligue 1 (France),Fonbet,405,4042033.0
Soccer,Primera División (Spain),Betplay,406,4001934.0
Soccer,Ligue 1 (France),Pocasport,405,3781627.0
Soccer,Serie A (Italy),Winline,189,3631745.0
Soccer,Süper Lig (Turkey),Winline,459,3529198.0
Soccer,Primera División (Spain),Sporty Bet,391,3493893.0
Soccer,Eliteserien (Norway),Nesine,217,3472535.0
Soccer,Serie A (Italy),Pocasport,189,3141835.0
Ice Hockey,Kontinental Hockey League,Olimp,836,3139345.0
Soccer,Süper Lig (Turkey),Pocasport,456,3128438.0
Soccer,Primeira Liga (Portugal),Bilyoner,346,3058909.0
Tennis,WTA 250,Bet365 Inform,428,3007675.0
Soccer,Primera División (Spain),Betfair,405,2990638.0
Soccer,Primeira Liga (Portugal),Winline,347,2949975.0
Soccer,Primera División (Argentina),Nesine,200,2937379.0
Basketball,Basketball Champions League,Nesine,129,2779838.0
Soccer,Süper Lig (Turkey),Betclic,452,2733284.0
Soccer,Serie A (Brazil),Betplay,490,2644467.0
Soccer,First Division A (Belgium),Bilyoner,347,2632067.0
Soccer,Primeira Liga (Portugal),Fonbet,347,2563994.0
Soccer,Segunda División (Spain),Bilyoner,488,2563148.0
Soccer,Primeira Liga (Portugal),Pocasport,346,2545281.0
Soccer,Serie A (Brazil),Betclic,466,2539589.0
Soccer,Ligue 2 (France),Bet365 Inform,403,2527596.0
Tennis,WTA 1000,Bet365 Inform,256,2522583.0
Soccer,LFPB (Bolivia),Bet365 Inform,227,2466906.0
Soccer,Serie A (Italy),Bilyoner,189,2420094.0
Ice Hockey,Kontinental Hockey League,Tipsport,833,2401639.0
Soccer,Primera División (Spain),Caliente,404,2265399.0
Soccer,Ligue 1 (France),Sporty Bet,386,2263133.0
Soccer,Primeira Liga (Portugal),Betclic,342,2261429.0
Soccer,Division Profesional (Paraguay),Bet365 Inform,182,2256428.0
Tennis,WTA 250,Betclic,420,2204212.0
Soccer,Süper Lig (Turkey),Fonbet,459,2165523.0
Soccer,J1 League (Japan),Bet365 Inform,381,2148160.0
Soccer,South American Internationals,Bet365 Inform,50,2125823.0
Soccer,Segunda División (Spain),Pocasport,488,2020531.0
Soccer,First Division A (Belgium),Fonbet,350,2010960.0
Soccer,Ligue 1 (France),Olimp,406,1986094.0
Soccer,Serie B (Brazil) ,Nesine,289,1984891.0
Soccer,Serie A (Italy),Olimp,189,1960380.0
Soccer,Primera División (Spain),Tipsport,407,1959412.0
Soccer,Serie B (Brazil) ,Bet365 Inform,445,1954656.0
Tennis,WTA 250,Winamax,421,1940747.0
Tennis,WTA 500,Bet365 Inform,275,1930228.0
Soccer,Copa Libertadores,Nesine,155,1928452.0
Soccer,Ligue 1 (France),Betfair,404,1914704.0
Soccer,Ligue 1 (France),Betclic,392,1908924.0
Soccer,Primera División (Spain),William Hill,404,1884348.0
Soccer,Serie A (Italy),Sporty Bet,183,1876574.0
Soccer,Copa Libertadores,Bet365 Inform,159,1851083.0
Soccer,Eliteserien (Norway),Bet365 Inform,241,1809578.0
Soccer,Veikkausliiga (Finland),Nesine,133,1806628.0
Soccer,DFB Pokal (Germany),Nesine,64,1795213.0
Soccer,Serie A (Italy),Betfair,189,1779862.0
Soccer,Primeira Liga (Portugal),Winamax,348,1749291.0
Soccer,Serie B (Italy),Bilyoner,405,1691674.0
Ice Hockey,Kontinental Hockey League,Ligastavok,836,1672565.0
Soccer,Serie A (Brazil),Winline,486,1666106.0
Soccer,DFB Pokal (Germany),Bet365 Inform,65,1662920.0
Soccer,Serie A (Brazil),Bilyoner,480,1662862.0
Soccer,Süper Lig (Turkey),Sporty Bet,434,1658100.0
Ice Hockey,Kontinental Hockey League,Parimatch,571,1653652.0
Soccer,Segunda División (Spain),Betclic,488,1645838.0
Soccer,Primera División (Spain),Bwin,407,1641417.0
Tennis,WTA 1000,Betclic,247,1619161.0
Soccer,J1 League (Japan),Bilyoner,380,1599233.0
Soccer,First Division A (Belgium),Pocasport,349,1572810.0
Soccer,Primera División (Spain),Wplay,401,1568829.0
Soccer,Süper Lig (Turkey),Winamax,455,1559082.0
Soccer,1. Lig (Turkey),Bet365 Inform,341,1558933.0
Soccer,Primeira Liga (Portugal),Sporty Bet,333,1544665.0
Tennis,WTA 1000,Winamax,246,1541371.0
Soccer,Copa Sudamericana,Nesine,154,1538827.0
Soccer,Ligue 1 (France),Betplay,405,1524712.0
Soccer,Primera División (Chile),Nesine,234,1522498.0
Soccer,Ligue 2 (France),Bilyoner,402,1517185.0
Soccer,Primeira Liga (Portugal),Betfair,346,1480284.0
Soccer,Primera División (Spain),Betsson,404,1469165.0
Soccer,UEFA Champions League Qualifiers,Bet365 Inform,41,1466335.0
Soccer,Serie A (Brazil),Pocasport,490,1449603.0
Soccer,Serie A (Brazil),Fonbet,488,1448789.0
Soccer,Segunda División (Spain),Fonbet,488,1441743.0
Ice Hockey,IIHF World Championships,Winline,64,1428184.0
Soccer,Primera División (Spain),Fortuna,404,1422537.0
Soccer,South American Internationals,Nesine,50,1419370.0
Soccer,Arabian Gulf League (United Arab Emirates),Bet365 Inform,185,1406762.0
Tennis,WTA 250,Fonbet,432,1390309.0
Soccer,Primera División (Spain),188Bet,407,1384674.0
Soccer,Serie A (Italy),Unibet,189,1382207.0
Soccer,J1 League (Japan),Winline,381,1381344.0
Soccer,Süper Lig (Turkey),Olimp,456,1357583.0
Soccer,UEFA Champions League Qualifiers,Nesine,41,1325383.0
Soccer,Segunda División (Spain),Winline,490,1320138.0
